last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Nelson, Jimmy,519076,2016,4.62,62.9,13.9,25,31.6,66.9,69.4,85,18.6,45,
Pomeranz, Drew,519141,2016,3.32,63.7,18.3,29.2,40.6,57.7,70.7,80.6,25.5,46.2,
Porcello, Rick,519144,2016,3.15,64.5,13.9,28.9,30.7,67.9,70.8,85.4,18.5,48.4,
Sale, Chris,519242,2016,3.34,65.5,19.4,31.3,36.5,62.1,71.5,80.1,24.6,49.3,
Perez, Martin,527048,2016,4.39,66.4,11.8,30.3,31.6,68,71.4,87.1,18.1,48.1,
Teheran, Julio,527054,2016,3.21,67.6,18,29,38.5,61.2,77.6,81.2,24,48.6,
Hendricks, Kyle,543294,2016,2.13,57.1,16.5,31.5,37.2,61.8,70.6,82.2,24.7,43.2,
Koehler, Tom,543408,2016,4.33,64.5,14.5,27.8,39.8,58.9,76.6,84.7,23.2,44.4,
McHugh, Collin,543521,2016,4.34,65.2,15.4,31.1,40.3,59.5,72.5,84.2,23.8,47.6,
Odorizzi, Jake,543606,2016,3.69,68.7,18.1,29.3,30,69.1,78.4,81.5,21.7,49,
Roark, Tanner,543699,2016,2.83,60.7,14.8,29.5,33.7,64.2,69.5,83.7,21.7,43.8,
Bauer, Trevor,545333,2016,4.26,63.4,15.4,24.5,41.3,58.2,69.1,84.2,22.5,44.2,
Iwakuma, Hisashi,547874,2016,4.12,64.6,10.7,31,33.2,66.1,72.9,88.7,17.4,48.8,
Tanaka, Masahiro,547888,2016,3.07,68.3,15,34.5,37.5,61.6,73.1,84.8,23.3,50.2,
Ventura, Yordano,570649,2016,4.45,63.7,12.3,26.1,44.7,55,73.1,87.2,22,44.4,
Fiers, Mike,571666,2016,4.48,64.6,16.6,26.8,33.4,65.8,71.4,83.1,21.5,45.9,
Keuchel, Dallas,572971,2016,4.55,61.2,13.5,30.2,38.4,60.9,70.4,85.7,22.9,44.1,
Straily, Dan,573185,2016,3.76,67.3,16.6,27.2,39.7,58.1,70.6,82,23.2,47.4,
Stroman, Marcus,573186,2016,4.37,66.4,12.6,29.2,39.9,59.2,77.1,86.4,21.3,47.3,
Gausman, Kevin,592332,2016,3.61,64.9,18.1,34.8,36.5,62.9,78.3,81.7,25.4,48.4,
Gray, Jon,592351,2016,4.61,67.7,16.1,29.1,52,47.2,74.2,83,26.5,49,
Ray, Robbie,592662,2016,4.90,64.8,19.8,28.2,42.2,56.7,75.7,79.6,26.6,46.6,
Sanchez, Aaron,592717,2016,3.00,61,15.1,24.6,36.4,63,73.5,84.3,20.9,43.5,
Smyly, Drew,592767,2016,4.88,66.3,18.4,28.6,39.2,59.8,73,80.8,24.7,47.5,
Syndergaard, Noah,592789,2016,2.60,65.6,20.2,35.8,47.9,51.7,72.4,78.9,30.3,50.4,
Martinez, Carlos,593372,2016,3.04,64.5,16.5,29,37,61.6,69.1,82.1,22.7,47.1,
Eickhoff, Jerad,595191,2016,3.65,63.1,14.3,29.5,35.9,63.7,69.1,84.4,21.5,45.7,
Davies, Zach,605200,2016,3.97,61.1,15.1,30.9,27.7,71.1,73,83.6,19.9,44.6,
